geoid,Type_1.19
34025809701,VHI - Super Gentrification or Exclusion
34025809703,MHI - Stable or Early Stage of Exclusion
34025809704,VHI - Super Gentrification or Exclusion
34025809901,VHI - Super Gentrification or Exclusion
34025809902,VHI - Super Gentrification or Exclusion
34025809903,Missing Data
34025810001,MHI - Stable or Early Stage of Exclusion
34025810002,LI - Ongoing Displacement of Low-Income Households
34025810003,MHI - Stable or Early Stage of Exclusion
34025810004,MHI - Stable or Early Stage of Exclusion
34025810101,MHI - Stable or Early Stage of Exclusion
34025810102,MHI - Stable or Early Stage of Exclusion
34025810200,MHI - Advanced Gentrification
34025810300,MHI - Stable or Early Stage of Exclusion
34025810401,MHI - Stable or Early Stage of Exclusion
34025810402,MHI - Ongoing Exclusion
34025810501,MHI - Stable or Early Stage of Exclusion
34025810502,MHI - Stable or Early Stage of Exclusion
34025810503,MHI - Stable or Early Stage of Exclusion
34025810600,MHI - Stable or Early Stage of Exclusion
34025810700,MHI - Stable or Early Stage of Exclusion
34025810800,LI - At Risk of Gentrification
34025810900,MHI - Stable or Early Stage of Exclusion
34025811000,LI - At Risk of Gentrification
34025811101,LI - Not Losing Low-Income Households
34025811102,MHI - Stable or Early Stage of Exclusion
34025811200,MHI - Stable or Early Stage of Exclusion
34025811301,MHI - Stable or Early Stage of Exclusion
34025811303,MHI - Stable or Early Stage of Exclusion
34025811304,MHI - Stable or Early Stage of Exclusion
34025811401,MHI - Stable or Early Stage of Exclusion
34025811402,MHI - Stable or Early Stage of Exclusion
34025811501,MHI - Stable or Early Stage of Exclusion
34025811502,MHI - Stable or Early Stage of Exclusion
34025811600,MHI - Stable or Early Stage of Exclusion
34025811900,MHI - Advanced Gentrification
34025812000,MHI - Stable or Early Stage of Exclusion
34025812100,MHI - Ongoing Exclusion
34025812200,MHI - Ongoing Exclusion
34025812300,MHI - Stable or Early Stage of Exclusion
34025812400,MHI - Ongoing Exclusion
34025812501,VHI - Super Gentrification or Exclusion
34025812502,MHI - Stable or Early Stage of Exclusion
34025990000,Missing Data
34027040101,MHI - Advanced Exclusion
34027040102,MHI - Stable or Early Stage of Exclusion
34027040200,MHI - Ongoing Exclusion
34027040300,MHI - Stable or Early Stage of Exclusion
34027040400,MHI - Stable or Early Stage of Exclusion
34027040500,MHI - Ongoing Exclusion
34027040600,MHI - Ongoing Exclusion
34027040701,MHI - Stable or Early Stage of Exclusion
34027040702,VHI - Super Gentrification or Exclusion
34027040801,MHI - Stable or Early Stage of Exclusion
34027040803,MHI - Stable or Early Stage of Exclusion
34027040804,MHI - Ongoing Exclusion
34027040805,VHI - Super Gentrification or Exclusion
34027040900,MHI - Stable or Early Stage of Exclusion
34027041000,MHI - Stable or Early Stage of Exclusion
34027041100,MHI - Advanced Exclusion
34027041200,VHI - Super Gentrification or Exclusion
34027041300,MHI - Stable or Early Stage of Exclusion
34027041400,MHI - Ongoing Exclusion
34027041500,MHI - Stable or Early Stage of Exclusion
34027041601,MHI - Stable or Early Stage of Exclusion
34027041602,MHI - Stable or Early Stage of Exclusion
34027041603,MHI - Advanced Exclusion
34027041604,MHI - Stable or Early Stage of Exclusion
34027041701,MHI - Stable or Early Stage of Exclusion
34027041702,MHI - Stable or Early Stage of Exclusion
34027041704,MHI - Ongoing Exclusion
34027041705,MHI - Stable or Early Stage of Exclusion
34027041706,MHI - Stable or Early Stage of Exclusion
34027041801,MHI - Stable or Early Stage of Exclusion
34027041802,MHI - Stable or Early Stage of Exclusion
34027041803,VHI - Super Gentrification or Exclusion
34027041901,MHI - Stable or Early Stage of Exclusion
34027041902,MHI - Stable or Early Stage of Exclusion
34027042000,MHI - Stable or Early Stage of Exclusion
34027042100,MHI - Advanced Gentrification
34027042200,MHI - Stable or Early Stage of Exclusion
34027042301,MHI - Advanced Gentrification
34027042302,MHI - Stable or Early Stage of Exclusion
34027042500,MHI - Stable or Early Stage of Exclusion
34027042600,MHI - Stable or Early Stage of Exclusion
34027042700,MHI - Advanced Exclusion
34027042800,VHI - Super Gentrification or Exclusion
34027042900,MHI - Stable or Early Stage of Exclusion
34027043000,MHI - Ongoing Exclusion
34027043100,VHI - Super Gentrification or Exclusion
34027043200,VHI - Super Gentrification or Exclusion
34027043301,MHI - Stable or Early Stage of Exclusion
34027043302,MHI - Ongoing Exclusion
34027043303,VHI - Super Gentrification or Exclusion
34027043401,MHI - Stable or Early Stage of Exclusion
34027043402,VHI - Super Gentrification or Exclusion
34027043500,LI - Not Losing Low-Income Households
34027043600,MHI - Ongoing Exclusion
34027043700,MHI - Stable or Early Stage of Exclusion
34027043800,MHI - Ongoing Exclusion
34027043900,MHI - Advanced Gentrification
34027044000,VHI - Super Gentrification or Exclusion
34027044101,VHI - Super Gentrification or Exclusion
34027044102,MHI - Stable or Early Stage of Exclusion
34027044200,VHI - Super Gentrification or Exclusion
34027044300,MHI - Stable or Early Stage of Exclusion
34027044401,MHI - Advanced Gentrification
34027044403,MHI - Stable or Early Stage of Exclusion
34027044404,MHI - Stable or Early Stage of Exclusion
34027044501,MHI - Stable or Early Stage of Exclusion
34027044502,MHI - Stable or Early Stage of Exclusion
34027044601,MHI - Stable or Early Stage of Exclusion
34027044602,MHI - Stable or Early Stage of Exclusion
34027044701,MHI - Stable or Early Stage of Exclusion
34027044702,MHI - Stable or Early Stage of Exclusion
34027044800,MHI - Stable or Early Stage of Exclusion
34027044900,MHI - Stable or Early Stage of Exclusion
34027045000,MHI - Stable or Early Stage of Exclusion
34027045100,MHI - Stable or Early Stage of Exclusion
34027045200,MHI - Stable or Early Stage of Exclusion
34027045300,MHI - Stable or Early Stage of Exclusion
34027045401,MHI - Stable or Early Stage of Exclusion
34027045402,MHI - Ongoing Exclusion
34027045501,MHI - Stable or Early Stage of Exclusion
34027045502,MHI - Stable or Early Stage of Exclusion
34027045602,LI - At Risk of Gentrification
34027045603,MHI - Ongoing Exclusion
34027045701,VHI - Super Gentrification or Exclusion
34027045703,VHI - Super Gentrification or Exclusion
34027045704,VHI - Super Gentrification or Exclusion
34027045804,VHI - Super Gentrification or Exclusion
34027045901,MHI - Stable or Early Stage of Exclusion
34027045902,VHI - Super Gentrification or Exclusion
34027046000,LI - At Risk of Gentrification
34027046103,MHI - Stable or Early Stage of Exclusion
34027046104,MHI - Stable or Early Stage of Exclusion
34027046105,MHI - Stable or Early Stage of Exclusion
34027046106,MHI - Stable or Early Stage of Exclusion
34027046201,MHI - Stable or Early Stage of Exclusion
34027046202,VHI - Super Gentrification or Exclusion
34027046297,VHI - Super Gentrification or Exclusion
34027046298,VHI - Super Gentrification or Exclusion
34027046300,MHI - Stable or Early Stage of Exclusion
34027046400,MHI - Stable or Early Stage of Exclusion
34029710100,MHI - Ongoing Exclusion
34029711100,MHI - Ongoing Exclusion
34029711200,MHI - Stable or Early Stage of Exclusion
34029711300,MHI - Stable or Early Stage of Exclusion
34029711400,MHI - Advanced Gentrification
34029712000,MHI - Ongoing Exclusion
34029713000,MHI - Ongoing Exclusion
34029713100,MHI - Advanced Gentrification
34029713201,MHI - Stable or Early Stage of Exclusion
34029713202,MHI - Ongoing Exclusion
34029713203,MHI - Stable or Early Stage of Exclusion
34029713300,LI - Ongoing Displacement of Low-Income Households
34029713401,MHI - Stable or Early Stage of Exclusion
34029713402,LI - Not Losing Low-Income Households
34029713500,MHI - Stable or Early Stage of Exclusion
34029713600,MHI - Stable or Early Stage of Exclusion
34029713700,MHI - Advanced Gentrification
34029713800,MHI - Stable or Early Stage of Exclusion
34029713900,LI - Not Losing Low-Income Households
34029714000,MHI - Advanced Gentrification
34029714100,LI - Not Losing Low-Income Households
34029714200,MHI - Ongoing Exclusion
34029714300,MHI - Stable or Early Stage of Exclusion
34029714400,MHI - Advanced Exclusion
34029715000,MHI - Stable or Early Stage of Exclusion
34029715200,LI - Ongoing Gentrification
34029715301,LI - Ongoing Gentrification
34029715302,LI - Not Losing Low-Income Households
34029715401,MHI - Stable or Early Stage of Exclusion
34029715402,LI - Not Losing Low-Income Households
34029715500,LI - Not Losing Low-Income Households
34029715600,LI - Not Losing Low-Income Households
34029715700,LI - Not Losing Low-Income Households
34029715800,MHI - Stable or Early Stage of Exclusion
34029715901,LI - At Risk of Gentrification
34029715902,LI - At Risk of Gentrification
34029716000,LI - Not Losing Low-Income Households
34029717001,MHI - Ongoing Exclusion
34029717002,MHI - Stable or Early Stage of Exclusion
34029717101,MHI - Stable or Early Stage of Exclusion
34029717102,MHI - Stable or Early Stage of Exclusion
34029717200,MHI - Advanced Gentrification
34029717300,MHI - Advanced Gentrification
34029717400,MHI - Advanced Gentrification
34029717501,MHI - Stable or Early Stage of Exclusion
34029717502,MHI - Stable or Early Stage of Exclusion
34029718000,MHI - Advanced Gentrification
34029720001,LI - Ongoing Displacement of Low-Income Households
34029720101,LI - Not Losing Low-Income Households
34029720102,LI - Not Losing Low-Income Households
34029720103,LI - Not Losing Low-Income Households
34029720202,LI - Not Losing Low-Income Households
34029720203,LI - Not Losing Low-Income Households
34029720204,MHI - Stable or Early Stage of Exclusion
34029720205,LI - Not Losing Low-Income Households
34029720206,LI - Not Losing Low-Income Households
34029721000,MHI - Advanced Gentrification
34029722001,MHI - Stable or Early Stage of Exclusion
34029722002,MHI - Stable or Early Stage of Exclusion
34029722100,MHI - Advanced Gentrification
34029722200,LI - Ongoing Displacement of Low-Income Households
34029722300,MHI - Advanced Gentrification
34029722401,MHI - Stable or Early Stage of Exclusion
34029722402,MHI - Ongoing Exclusion
34029722500,MHI - Stable or Early Stage of Exclusion
34029722600,MHI - Stable or Early Stage of Exclusion
34029722701,MHI - Stable or Early Stage of Exclusion
34029722702,MHI - Stable or Early Stage of Exclusion
34029722800,MHI - Stable or Early Stage of Exclusion
34029722900,MHI - Stable or Early Stage of Exclusion
34029723000,MHI - Stable or Early Stage of Exclusion
34029723100,MHI - Stable or Early Stage of Exclusion
34029723200,MHI - Stable or Early Stage of Exclusion
34029723300,MHI - Stable or Early Stage of Exclusion
34029723400,MHI - Advanced Gentrification
34029723500,LI - Ongoing Displacement of Low-Income Households
34029723600,MHI - Ongoing Exclusion
34029724000,MHI - Stable or Early Stage of Exclusion
34029725001,MHI - Stable or Early Stage of Exclusion
34029725002,MHI - Stable or Early Stage of Exclusion
34029725100,MHI - Ongoing Exclusion
34029726000,MHI - Stable or Early Stage of Exclusion
34029727001,MHI - Stable or Early Stage of Exclusion
34029727002,MHI - Stable or Early Stage of Exclusion
34029728000,LI - Ongoing Displacement of Low-Income Households
34029729000,MHI - Advanced Exclusion
34029730000,MHI - Advanced Gentrification
34029731001,MHI - Stable or Early Stage of Exclusion
34029731002,MHI - Stable or Early Stage of Exclusion
34029731101,MHI - Stable or Early Stage of Exclusion
34029731102,MHI - Stable or Early Stage of Exclusion
34029731103,MHI - Advanced Exclusion
34029731201,LI - Ongoing Displacement of Low-Income Households
34029731202,LI - Ongoing Displacement of Low-Income Households
34029731203,LI - Ongoing Displacement of Low-Income Households
34029731204,LI - Ongoing Displacement of Low-Income Households
34029731205,LI - Ongoing Displacement of Low-Income Households
34029731206,LI - Ongoing Displacement of Low-Income Households
34029732001,MHI - Stable or Early Stage of Exclusion
34029732002,MHI - Stable or Early Stage of Exclusion
34029732101,MHI - Stable or Early Stage of Exclusion
34029732103,MHI - Stable or Early Stage of Exclusion
34029732104,MHI - Stable or Early Stage of Exclusion
34029733000,MHI - Stable or Early Stage of Exclusion
34029734001,MHI - Stable or Early Stage of Exclusion
34029734002,MHI - Stable or Early Stage of Exclusion
34029734003,MHI - Stable or Early Stage of Exclusion
34029735001,MHI - Stable or Early Stage of Exclusion
34029735002,MHI - Stable or Early Stage of Exclusion
34029735101,MHI - Stable or Early Stage of Exclusion
34029735103,MHI - Stable or Early Stage of Exclusion
34029735104,MHI - Stable or Early Stage of Exclusion
34029736001,MHI - Stable or Early Stage of Exclusion
34029736002,MHI - Ongoing Exclusion
34029736101,MHI - Stable or Early Stage of Exclusion
34029736102,MHI - Stable or Early Stage of Exclusion
34029736105,MHI - Ongoing Exclusion
34029737000,MHI - Ongoing Exclusion
34029738001,MHI - Advanced Exclusion
34029738002,MHI - Ongoing Exclusion
34029738100,MHI - Advanced Gentrification
34029739000,MHI - Stable or Early Stage of Exclusion
34029739100,LI - Not Losing Low-Income Households
34029980000,Missing Data
34029980100,Missing Data
34029990000,Missing Data
34031116500,MHI - Stable or Early Stage of Exclusion
34031124200,MHI - Stable or Early Stage of Exclusion
34031124311,MHI - Advanced Gentrification
34031124312,MHI - Advanced Gentrification
34031124321,MHI - Stable or Early Stage of Exclusion
34031124322,MHI - Ongoing Exclusion
34031124323,MHI - Ongoing Exclusion
34031124401,MHI - Stable or Early Stage of Exclusion
34031124402,MHI - Stable or Early Stage of Exclusion
34031124500,LI - At Risk of Gentrification
34031124601,LI - At Risk of Gentrification
34031124602,MHI - Stable or Early Stage of Exclusion
34031124700,MHI - Ongoing Exclusion
34031124800,MHI - Ongoing Exclusion
34031124900,LI - At Risk of Gentrification
34031125000,LI - At Risk of Gentrification
34031125100,LI - Ongoing Displacement of Low-Income Households
34031133701,MHI - Stable or Early Stage of Exclusion
34031133702,MHI - Stable or Early Stage of Exclusion
34031143200,MHI - Ongoing Exclusion
34031143300,MHI - Ongoing Exclusion
34031143400,MHI - Ongoing Exclusion
34031154001,MHI - Stable or Early Stage of Exclusion
34031154002,MHI - Stable or Early Stage of Exclusion
34031163500,MHI - Advanced Exclusion
34031175200,LI - At Risk of Gentrification
34031175301,LI - At Risk of Gentrification
34031175302,LI - At Risk of Gentrification
34031175401,LI - Ongoing Gentrification
34031175402,LI - Ongoing Gentrification
34031175500,LI - At Risk of Gentrification
34031175601,MHI - Stable or Early Stage of Exclusion
34031175602,LI - At Risk of Gentrification
34031175701,LI - At Risk of Gentrification
34031175703,LI - Ongoing Displacement of Low-Income Households
34031175704,MHI - Stable or Early Stage of Exclusion
34031175801,LI - At Risk of Gentrification
34031175802,LI - At Risk of Gentrification
34031175900,LI - Ongoing Displacement of Low-Income Households
34031180100,MHI - Stable or Early Stage of Exclusion
34031180201,LI - At Risk of Gentrification
34031180202,LI - At Risk of Gentrification
34031180300,LI - At Risk of Gentrification
34031180600,LI - Ongoing Gentrification
34031180700,LI - Ongoing Displacement of Low-Income Households
34031180800,LI - At Risk of Gentrification
34031180900,LI - Ongoing Gentrification
34031181000,LI - At Risk of Gentrification
34031181100,LI - Ongoing Gentrification
34031181200,LI - At Risk of Gentrification
34031181300,LI - At Risk of Gentrification
34031181400,LI - At Risk of Gentrification
34031181500,LI - At Risk of Gentrification
34031181702,LI - At Risk of Gentrification
34031181800,LI - Ongoing Gentrification
34031181900,LI - At Risk of Gentrification
34031182000,LI - Ongoing Gentrification
34031182100,LI - At Risk of Gentrification
34031182200,LI - At Risk of Gentrification
34031182301,LI - Ongoing Displacement of Low-Income Households
34031182302,LI - At Risk of Gentrification
34031182400,LI - At Risk of Gentrification
34031182500,LI - At Risk of Gentrification
34031182600,LI - At Risk of Gentrification
34031182700,LI - Ongoing Gentrification
34031182800,LI - At Risk of Gentrification
34031182900,LI - Ongoing Displacement of Low-Income Households
34031183000,LI - At Risk of Gentrification
34031183101,LI - Ongoing Displacement of Low-Income Households
34031183102,LI - At Risk of Gentrification
34031183200,LI - At Risk of Gentrification
34031196401,MHI - Stable or Early Stage of Exclusion
34031196402,MHI - Stable or Early Stage of Exclusion
34031203600,LI - At Risk of Gentrification
34031216701,MHI - Stable or Early Stage of Exclusion
34031216702,MHI - Stable or Early Stage of Exclusion
34031223801,MHI - Stable or Early Stage of Exclusion
34031223802,MHI - Ongoing Exclusion
34031223900,MHI - Stable or Early Stage of Exclusion
34031236601,MHI - Stable or Early Stage of Exclusion
34031236602,MHI - Stable or Early Stage of Exclusion
34031246001,MHI - Stable or Early Stage of Exclusion
34031246002,VHI - Super Gentrification or Exclusion
34031246003,MHI - Ongoing Exclusion
34031246101,MHI - Stable or Early Stage of Exclusion
34031246102,MHI - Stable or Early Stage of Exclusion
34031246103,VHI - Super Gentrification or Exclusion
34031246104,MHI - Stable or Early Stage of Exclusion
34031246201,MHI - Stable or Early Stage of Exclusion
34031246202,MHI - Ongoing Exclusion
34031246203,MHI - Stable or Early Stage of Exclusion
34031246300,MHI - Stable or Early Stage of Exclusion
34031256801,MHI - Advanced Gentrification
34031256802,MHI - Stable or Early Stage of Exclusion
34031256803,MHI - Stable or Early Stage of Exclusion
34031256804,MHI - Advanced Gentrification
34031256805,MHI - Stable or Early Stage of Exclusion
34031264101,MHI - Stable or Early Stage of Exclusion
34031264102,MHI - Stable or Early Stage of Exclusion
34031264200,LI - At Risk of Gentrification
34035050100,MHI - Stable or Early Stage of Exclusion
34035050200,MHI - Stable or Early Stage of Exclusion
34035050300,MHI - Stable or Early Stage of Exclusion
34035050400,MHI - Stable or Early Stage of Exclusion
34035050500,MHI - Stable or Early Stage of Exclusion
34035050600,MHI - Ongoing Exclusion
34035050701,MHI - Stable or Early Stage of Exclusion
34035050703,MHI - Stable or Early Stage of Exclusion
34035050704,MHI - Stable or Early Stage of Exclusion
34035050801,VHI - Super Gentrification or Exclusion
34035050802,MHI - Stable or Early Stage of Exclusion
34035050901,MHI - Stable or Early Stage of Exclusion
34035050902,VHI - Super Gentrification or Exclusion
34035050903,VHI - Super Gentrification or Exclusion
34035051000,MHI - Stable or Early Stage of Exclusion
34035051100,LI - Ongoing Displacement of Low-Income Households
34035051200,MHI - Ongoing Exclusion
34035051300,MHI - Stable or Early Stage of Exclusion
34035051400,MHI - Stable or Early Stage of Exclusion
34035051500,LI - At Risk of Gentrification
34035051600,MHI - Stable or Early Stage of Exclusion
34035051700,MHI - Advanced Gentrification
34035051800,MHI - Stable or Early Stage of Exclusion
34035051900,MHI - Ongoing Exclusion
34035052001,MHI - Stable or Early Stage of Exclusion
34035052002,MHI - Stable or Early Stage of Exclusion
34035052100,MHI - Advanced Gentrification
34035052201,MHI - Stable or Early Stage of Exclusion
34035052203,VHI - Super Gentrification or Exclusion
34035052204,VHI - Super Gentrification or Exclusion
34035052300,MHI - Ongoing Exclusion
34035052400,MHI - Stable or Early Stage of Exclusion
34035052601,VHI - Super Gentrification or Exclusion
34035052603,MHI - Stable or Early Stage of Exclusion
34035052700,MHI - Ongoing Exclusion
34035052800,MHI - Stable or Early Stage of Exclusion
34035052901,MHI - Stable or Early Stage of Exclusion
34035052903,MHI - Stable or Early Stage of Exclusion
34035052904,MHI - Stable or Early Stage of Exclusion
34035053000,MHI - Stable or Early Stage of Exclusion
34035053102,MHI - Stable or Early Stage of Exclusion
34035053103,MHI - Stable or Early Stage of Exclusion
34035053105,MHI - Stable or Early Stage of Exclusion
34035053200,MHI - Ongoing Exclusion
34035053300,LI - At Risk of Gentrification
34035053402,MHI - Stable or Early Stage of Exclusion
34035053403,MHI - Stable or Early Stage of Exclusion
34035053404,MHI - Stable or Early Stage of Exclusion
34035053501,MHI - Stable or Early Stage of Exclusion
34035053602,MHI - Stable or Early Stage of Exclusion
34035053603,MHI - Stable or Early Stage of Exclusion
34035053604,MHI - Stable or Early Stage of Exclusion
34035053703,MHI - Stable or Early Stage of Exclusion
34035053704,VHI - Super Gentrification or Exclusion
34035053705,MHI - Stable or Early Stage of Exclusion
34035053706,MHI - Stable or Early Stage of Exclusion
34035053707,VHI - Super Gentrification or Exclusion
34035053801,Missing Data
34035053803,VHI - Super Gentrification or Exclusion
34035053804,MHI - Ongoing Exclusion
34035053805,MHI - Stable or Early Stage of Exclusion
34035053901,MHI - Stable or Early Stage of Exclusion
34035053904,VHI - Super Gentrification or Exclusion
34035053905,VHI - Super Gentrification or Exclusion
34035054100,MHI - Ongoing Exclusion
34035054201,VHI - Super Gentrification or Exclusion
34035054202,VHI - Super Gentrification or Exclusion
34035054300,MHI - Stable or Early Stage of Exclusion
34037371000,MHI - Stable or Early Stage of Exclusion
34037371100,MHI - Stable or Early Stage of Exclusion
34037371200,LI - At Risk of Gentrification
34037371300,MHI - Stable or Early Stage of Exclusion
34037371400,MHI - Stable or Early Stage of Exclusion
34037371502,MHI - Stable or Early Stage of Exclusion
34037371503,MHI - Stable or Early Stage of Exclusion
34037371600,MHI - Stable or Early Stage of Exclusion
34037371700,MHI - Ongoing Exclusion
34037371800,MHI - Advanced Gentrification
34037371900,MHI - Stable or Early Stage of Exclusion
34037372000,MHI - Stable or Early Stage of Exclusion
34037372100,MHI - Stable or Early Stage of Exclusion
34037372200,MHI - Stable or Early Stage of Exclusion
34037372300,MHI - Stable or Early Stage of Exclusion
34037372400,MHI - Stable or Early Stage of Exclusion
34037372500,MHI - Stable or Early Stage of Exclusion
34037372600,MHI - Stable or Early Stage of Exclusion
34037372700,MHI - Stable or Early Stage of Exclusion
34037372800,MHI - Ongoing Exclusion
34037372900,LI - Not Losing Low-Income Households
34037373000,MHI - Stable or Early Stage of Exclusion
34037373100,VHI - Super Gentrification or Exclusion
34037373200,VHI - Super Gentrification or Exclusion
34037373300,MHI - Stable or Early Stage of Exclusion
34037373400,MHI - Advanced Gentrification
34037373500,MHI - Stable or Early Stage of Exclusion
34037373600,MHI - Stable or Early Stage of Exclusion
34037373700,LI - At Risk of Gentrification
34037373800,MHI - Stable or Early Stage of Exclusion
34037373900,MHI - Stable or Early Stage of Exclusion
34037374000,MHI - Advanced Gentrification
34037374100,MHI - Advanced Gentrification
34037374200,MHI - Advanced Gentrification
34037374300,MHI - Stable or Early Stage of Exclusion
34037374400,MHI - Stable or Early Stage of Exclusion
34037374500,MHI - Stable or Early Stage of Exclusion
34037374600,MHI - Stable or Early Stage of Exclusion
34037374700,MHI - Stable or Early Stage of Exclusion
34037374800,MHI - Stable or Early Stage of Exclusion
34037374900,MHI - Advanced Gentrification
34039030200,LI - Ongoing Displacement of Low-Income Households
34039030400,LI - Ongoing Gentrification
34039030500,LI - Ongoing Gentrification
34039030600,LI - Ongoing Displacement of Low-Income Households
34039030701,MHI - Stable or Early Stage of Exclusion
34039030702,LI - At Risk of Gentrification
34039030802,LI - Ongoing Displacement of Low-Income Households
34039030900,LI - Ongoing Gentrification
34039031000,LI - Ongoing Displacement of Low-Income Households
34039031100,LI - Ongoing Gentrification
34039031200,LI - At Risk of Gentrification
34039031300,LI - Ongoing Gentrification
34039031400,LI - At Risk of Gentrification
34039031500,MHI - Stable or Early Stage of Exclusion
34039031601,LI - At Risk of Gentrification
34039031602,LI - Ongoing Displacement of Low-Income Households
34039031700,LI - Ongoing Gentrification
34039031801,LI - Ongoing Displacement of Low-Income Households
34039031802,LI - At Risk of Gentrification
34039031903,LI - Ongoing Displacement of Low-Income Households
34039031904,LI - At Risk of Gentrification
34039032001,LI - At Risk of Gentrification
34039032002,MHI - Ongoing Exclusion
34039032100,MHI - Stable or Early Stage of Exclusion
34039032200,MHI - Advanced Gentrification
34039032300,LI - At Risk of Gentrification
34039032400,MHI - Advanced Gentrification
34039032500,MHI - Stable or Early Stage of Exclusion
34039032600,MHI - Stable or Early Stage of Exclusion
34039032700,MHI - Stable or Early Stage of Exclusion
34039032800,LI - Ongoing Displacement of Low-Income Households
34039032901,MHI - Ongoing Exclusion
34039032902,MHI - Stable or Early Stage of Exclusion
34039033000,MHI - Ongoing Exclusion
34039033100,MHI - Stable or Early Stage of Exclusion
34039033200,MHI - Advanced Gentrification
34039033300,MHI - Advanced Gentrification
34039033400,MHI - Advanced Gentrification
34039033500,MHI - Stable or Early Stage of Exclusion
34039033600,MHI - Ongoing Exclusion
34039033700,MHI - Ongoing Exclusion
34039033800,MHI - Ongoing Exclusion
34039033900,LI - At Risk of Gentrification
34039034000,LI - At Risk of Gentrification
34039034100,LI - At Risk of Gentrification
34039034200,LI - At Risk of Gentrification
34039034300,MHI - Stable or Early Stage of Exclusion
34039034400,LI - At Risk of Gentrification
34039034500,LI - At Risk of Gentrification
34039034600,MHI - Ongoing Exclusion
34039034700,MHI - Stable or Early Stage of Exclusion
34039034800,MHI - Advanced Exclusion
34039034900,MHI - Ongoing Exclusion
34039035000,MHI - Ongoing Exclusion
34039035100,MHI - Ongoing Exclusion
34039035200,LI - Ongoing Displacement of Low-Income Households
34039035300,LI - Ongoing Displacement of Low-Income Households
34039035400,MHI - Advanced Exclusion
34039035500,MHI - Stable or Early Stage of Exclusion
34039035600,MHI - Ongoing Exclusion
34039035700,MHI - Stable or Early Stage of Exclusion
34039035800,MHI - Stable or Early Stage of Exclusion
34039035900,MHI - Stable or Early Stage of Exclusion
34039036000,LI - At Risk of Gentrification
34039036100,LI - Ongoing Displacement of Low-Income Households
34039036200,MHI - Advanced Gentrification
34039036301,MHI - Stable or Early Stage of Exclusion
34039036302,MHI - Stable or Early Stage of Exclusion
34039036400,VHI - Super Gentrification or Exclusion
34039036500,VHI - Super Gentrification or Exclusion
34039036600,MHI - Stable or Early Stage of Exclusion
34039036700,MHI - Advanced Gentrification
34039036800,VHI - Super Gentrification or Exclusion
34039036900,MHI - Stable or Early Stage of Exclusion
34039037000,MHI - Stable or Early Stage of Exclusion
34039037100,VHI - Super Gentrification or Exclusion
34039037200,MHI - Ongoing Exclusion
34039037300,MHI - Stable or Early Stage of Exclusion
34039037400,MHI - Stable or Early Stage of Exclusion
34039037500,MHI - Stable or Early Stage of Exclusion
34039037601,MHI - Stable or Early Stage of Exclusion
34039037602,MHI - Stable or Early Stage of Exclusion
34039037700,VHI - Super Gentrification or Exclusion
34039037800,VHI - Super Gentrification or Exclusion
34039037900,VHI - Super Gentrification or Exclusion
34039038000,MHI - Ongoing Exclusion
34039038101,VHI - Super Gentrification or Exclusion
34039038102,MHI - Advanced Gentrification
34039038201,VHI - Super Gentrification or Exclusion
34039038202,VHI - Super Gentrification or Exclusion
34039038300,MHI - Ongoing Exclusion
34039038400,MHI - Ongoing Exclusion
34039038500,MHI - Stable or Early Stage of Exclusion
34039038601,MHI - Stable or Early Stage of Exclusion
34039038602,VHI - Super Gentrification or Exclusion
34039038700,MHI - Advanced Gentrification
34039038800,MHI - Stable or Early Stage of Exclusion
34039038900,LI - At Risk of Gentrification
34039039000,LI - At Risk of Gentrification
34039039100,MHI - Stable or Early Stage of Exclusion
34039039200,LI - At Risk of Gentrification
34039039300,LI - Ongoing Displacement of Low-Income Households
34039039400,LI - Ongoing Displacement of Low-Income Households
34039039500,MHI - Stable or Early Stage of Exclusion
34039039600,MHI - Stable or Early Stage of Exclusion
34039039700,MHI - Stable or Early Stage of Exclusion
34039039800,LI - Ongoing Displacement of Low-Income Households
34039039900,LI - At Risk of Gentrification
34041030600,LI - Ongoing Displacement of Low-Income Households
34041030700,LI - Not Losing Low-Income Households
34041030800,LI - At Risk of Gentrification
34041030900,LI - Ongoing Gentrification
34041031101,MHI - Stable or Early Stage of Exclusion
34041031102,MHI - Stable or Early Stage of Exclusion
34041031200,MHI - Stable or Early Stage of Exclusion
34041031301,MHI - Stable or Early Stage of Exclusion
34041031302,MHI - Stable or Early Stage of Exclusion
34041031401,MHI - Stable or Early Stage of Exclusion
34041031402,MHI - Ongoing Exclusion
34041031500,MHI - Stable or Early Stage of Exclusion
34041031601,MHI - Stable or Early Stage of Exclusion
34041031602,MHI - Stable or Early Stage of Exclusion
34041031700,LI - Not Losing Low-Income Households
34041031800,MHI - Stable or Early Stage of Exclusion
34041031900,MHI - Stable or Early Stage of Exclusion
34041032000,MHI - Ongoing Exclusion
34041032101,MHI - Stable or Early Stage of Exclusion
34041032102,MHI - Stable or Early Stage of Exclusion
34041032200,MHI - Stable or Early Stage of Exclusion
34041032300,MHI - Advanced Exclusion
34041032400,MHI - Stable or Early Stage of Exclusion
36005000100,MHI - Stable or Early Stage of Exclusion
36005000200,MHI - Stable or Early Stage of Exclusion
36005000400,MHI - Stable or Early Stage of Exclusion
36005001600,LI - At Risk of Gentrification
36005001900,LI - Ongoing Gentrification
